Member_Account_Code,Revenue_usd,Invoice_num,Ranking,Quantity,Month_num
27001049,1984.06,1,OTHERS,1,5
60073222,4845.63,1,CT,1,5
60080458,228.94,1,OTHERS,1,5
60082960,1903.96,1,OTHERS,2,5
60083471,2441.90,1,OTHERS,2,5
60084724,526.61,1,OTHERS,2,5
27001451,3586.55,1,CT,2,5
60084727,263.30,1,OTHERS,1,5
60084728,2670.84,1,OTHERS,1,5
60084728,263.30,1,OTHERS,1,5
MA002707,263.30,1,OTHERS,1,5
60074161,4281.02,1,CT,3,5
60080904,1106.48,1,OTHERS,1,5
60084725,263.30,1,OTHERS,1,5
60084726,110.66,1,OTHERS,1,5
60084728,0.00,2,OTHERS,0,5
MA002707,0.00,2,OTHERS,0,5
60073961,2060.36,1,OTHERS,1,5
60084729,2670.88,1,OTHERS,2,5
60089588,1716.95,1,OTHERS,1,5
23000843,228.94,1,OTHERS,1,5
5002597,7630.98,1,CT,5,5
99000488,263.30,1,OTHERS,1,5
60084730,488.40,1,OTHERS,1,5
60084731,747.90,1,OTHERS,2,5
60084732,228.94,1,OTHERS,1,5
60084734,1564.36,1,OTHERS,1,5
20002141,6738.13,1,CT,3,5
22000031,6715.18,1,CT,2,5
60084736,1106.48,1,OTHERS,1,5
60084737,1526.19,1,OTHERS,1,5
60084738,2403.73,1,OTHERS,1,5
60084740,228.94,1,OTHERS,1,5
60084741,2937.95,1,OTHERS,2,5
60084742,3662.85,1,CT,2,5
60084743,522.72,1,OTHERS,1,5
22000031,2060.36,1,OTHERS,1,5
22000398,2480.07,1,OTHERS,2,5
24001530,5837.68,1,CT,3,5
60084744,343.41,1,OTHERS,1,5
60084746,484.59,1,OTHERS,1,5
60084747,2060.36,2,OTHERS,2,5
9000030,576.15,1,OTHERS,1,5
PV000303,484.59,1,OTHERS,1,5
60067686,6677.05,1,CT,2,5
60084745,839.41,1,OTHERS,1,5
39000072,6448.11,1,CT,2,5
99001191,4006.21,1,CT,2,5
13000241,6509.19,1,CT,2,5
60084749,26097.56,1,GOLD,1,5
9001886,16864.27,3,SILVER,3,5
13000482,2747.14,1,OTHERS,1,5
5000604,13888.19,1,SILVER,1,5
60084750,2235.91,1,OTHERS,3,5
60079623,7859.87,1,CT,3,5
60081983,1106.48,1,OTHERS,1,5
20000751,2327.43,1,OTHERS,1,5
60084752,282.37,1,OTHERS,1,5
60084753,625.78,1,OTHERS,2,5
60084754,263.30,1,OTHERS,1,5
60084755,1930.68,1,OTHERS,2,6
60081814,3891.74,1,CT,1,6
60084756,2006.93,1,OTHERS,2,6
60084757,228.94,1,OTHERS,1,6
60084758,1778.04,1,OTHERS,2,6
9001516,621.93,1,OTHERS,1,6
60084759,263.30,1,OTHERS,1,6
60084760,263.30,1,OTHERS,1,6
9001516,488.40,1,OTHERS,1,6
99000328,953.88,1,OTHERS,1,6
60084761,2785.31,1,OTHERS,1,6
60084762,263.30,1,OTHERS,1,6
60081037,7783.49,1,CT,1,6
60084763,263.30,1,OTHERS,1,6
60084764,228.94,1,OTHERS,1,6
60084765,263.30,1,OTHERS,1,6
60084766,1106.48,1,OTHERS,1,6
60084767,2556.37,1,OTHERS,1,6
22000014,263.30,1,OTHERS,1,6
60084768,6997.55,1,CT,2,6
60065619,4731.20,1,CT,2,6
60084769,3296.57,1,CT,2,6
20000178,263.30,1,OTHERS,1,6
59000063,2556.37,1,OTHERS,1,6
60084770,484.59,1,OTHERS,1,6
60084771,263.30,1,OTHERS,1,6
60084772,5494.27,1,CT,2,6
60085056,263.30,1,OTHERS,1,6
5001498,7898.00,2,CT,2,6
60076597,457.88,1,OTHERS,1,6
60085057,492.24,1,OTHERS,2,6
60085058,11866.00,1,SILVER,2,6
20002141,4288.58,1,CT,2,6
60085059,1716.95,1,OTHERS,1,6
60085060,263.30,1,OTHERS,1,6
60085061,488.40,1,OTHERS,1,6
60085062,228.94,1,OTHERS,1,6
60085063,7325.70,1,CT,2,6
60085064,1106.48,1,OTHERS,1,6
60085065,358.67,1,OTHERS,1,6
60085066,721.18,1,OTHERS,3,6
60085067,263.30,1,OTHERS,1,6
5002597,6528.30,3,CT,5,6
60085068,251.85,1,OTHERS,1,6
60080377,1220.95,1,OTHERS,1,6
60085069,526.61,1,OTHERS,2,6
8001224,25487.13,1,GOLD,2,6
PV000171,228.94,1,OTHERS,1,6
60085071,1106.48,1,OTHERS,1,6
60067418,8851.84,1,CT,1,7
60079850,1282.07,1,OTHERS,3,7
60085072,4425.92,1,CT,2,7
27000390,1335.42,1,OTHERS,1,7
60064032,28997.29,1,GOLD,1,7
60085073,293.82,1,OTHERS,1,7
60085074,5494.27,1,CT,2,7
60085075,263.30,1,OTHERS,1,7
60085076,2403.73,1,OTHERS,1,7
20001130,4776.98,1,CT,3,7
60085077,263.30,1,OTHERS,1,7
60079969,5688.89,2,CT,3,7
60083449,9462.27,1,CT,1,7
24002905,6867.82,1,CT,1,7
60085078,228.94,1,OTHERS,1,7
59000063,557.09,1,OTHERS,1,7
60085079,3357.61,1,CT,1,7
25000030,358.67,1,OTHERS,1,7
60085080,263.30,1,OTHERS,1,7
60085081,2327.43,1,OTHERS,1,7
60085082,1106.48,1,OTHERS,1,7
60065272,5929.24,1,CT,4,7
60073377,576.19,1,OTHERS,2,7
60077793,839.41,1,OTHERS,1,7
60085083,263.30,1,OTHERS,1,7
60085084,1220.95,1,OTHERS,1,7
60085085,457.88,1,OTHERS,1,7
24003554,2670.84,1,OTHERS,1,7
60085086,228.94,1,OTHERS,1,7
60085087,263.30,1,OTHERS,1,7
60085088,2365.64,1,OTHERS,2,7
60085089,457.88,1,OTHERS,1,7
60085090,263.30,1,OTHERS,1,7
60063583,6562.62,1,CT,3,7
60085091,228.94,1,OTHERS,1,9
60085092,12056.77,1,SILVER,1,9
60085093,457.88,1,OTHERS,1,9
60085104,263.30,1,OTHERS,1,9
60085105,1106.48,1,OTHERS,1,9
60081050,3662.85,1,CT,2,9
60085103,263.30,1,OTHERS,1,9
24002596,6066.58,1,CT,1,9
60085102,4845.63,1,CT,1,9
60085101,1335.42,1,OTHERS,1,9
60085100,3433.91,1,CT,2,10
60085098,2518.20,1,OTHERS,1,10
60085099,263.30,1,OTHERS,1,10
MC0000000022,1068.39,1,OTHERS,2,10
MA001928,717.34,1,OTHERS,1,10
60085097,19153.53,1,SILVER,2,10
MC0000000028,263.30,1,OTHERS,1,10
60085094,488.40,1,OTHERS,1,10
60085095,3891.79,1,CT,2,10
60085096,1106.48,1,OTHERS,1,10
60066101,3548.38,1,CT,2,10
MC0000000035,728.75,1,OTHERS,1,10
53000048,282.37,1,OTHERS,1,10
MC0000000038,263.30,1,OTHERS,1,10
MC0000000039,263.30,1,OTHERS,1,10
60078527,457.88,1,OTHERS,1,10
MC0000000040,751.70,1,OTHERS,2,10
MC0000000048,1106.48,1,OTHERS,1,10
MC0000000059,953.88,1,OTHERS,1,10
PV000303,5456.10,1,CT,2,10
60090833,7898.00,1,CT,2,10
20000526,293.82,1,OTHERS,1,10
3001727,782.22,1,OTHERS,2,10
13000508,7669.10,2,CT,3,10
39000072,3510.25,1,CT,2,10
60078468,7516.42,1,CT,2,10
9000224,587.65,1,OTHERS,2,10
MC0000000080,2174.83,1,OTHERS,1,10
19000025,2327.47,1,OTHERS,2,10
22000031,4616.69,1,CT,1,10
MC0000000092,293.82,1,OTHERS,1,10
MC0000000100,557.09,1,OTHERS,1,10
27000944,293.82,1,OTHERS,1,10
60062549,5837.68,1,CT,2,10
60089865,7249.36,1,CT,2,10
MC0000000115,2060.36,1,OTHERS,1,10
MC0000000122,1945.89,1,OTHERS,1,10
MC0000000134,1526.19,1,OTHERS,1,10
22000426,30981.36,1,GOLD,2,10
24002686,6654.18,1,CT,2,10
27000538,6333.69,1,CT,2,10
60065296,3891.74,1,CT,1,10
8001361,3891.74,1,CT,1,10
MA001920,8470.26,1,CT,1,10
MC0000000105,1106.48,1,OTHERS,1,10
MC0000000138,293.82,1,OTHERS,1,10
MC0000000150,328.15,1,OTHERS,1,10
MC0000000154,3891.74,1,CT,1,10
60084742,3128.67,1,CT,1,10
MC0000000166,13964.49,1,SILVER,1,10
MC0000000171,6753.35,1,CT,1,10
18010607,4845.63,1,CT,1,10
20000519,293.82,1,OTHERS,1,10
60077796,2556.37,1,OTHERS,1,10
MC0000000175,293.82,1,OTHERS,1,10
MC0000000185,915.71,1,OTHERS,1,10
MC0000000186,3701.02,1,CT,2,10
24003667,5139.45,1,CT,2,10
27001314,1106.48,1,OTHERS,1,10
60081914,293.82,1,OTHERS,1,10
MC0000000186,10835.86,1,SILVER,1,10
MC0000000199,1716.95,1,OTHERS,1,10
MC0000000207,4387.75,1,CT,1,10
MC0000000209,293.82,1,OTHERS,1,10
MC0000000212,2136.66,1,OTHERS,1,10
MC0000000217,2976.07,1,OTHERS,1,10
MC0000000224,1106.48,1,OTHERS,1,10
60081187,1045.48,1,OTHERS,2,10
MA002648,2899.73,1,OTHERS,1,10
16000039,21366.45,1,SILVER,1,10
21000564,3128.67,1,CT,1,10
23000267,293.82,1,OTHERS,1,10
5001353,457.88,1,OTHERS,1,10
60084239,2403.73,1,OTHERS,1,10
8001224,293.82,1,OTHERS,1,10
MC0000000237,1716.95,1,OTHERS,1,10
MC0000000240,1106.48,1,OTHERS,1,10
MC0000000265,1106.48,1,OTHERS,1,10
MC0000000268,652.45,1,OTHERS,1,10
19000068,7554.59,1,CT,1,10
60077685,11751.57,1,SILVER,2,10
60091037,293.82,1,OTHERS,1,10
MC0000000281,457.88,1,OTHERS,1,10
9000109,2136.66,1,OTHERS,1,10
60067370,11217.40,1,SILVER,1,10
60067426,16253.75,1,SILVER,1,10
MC0000000300,602.87,1,OTHERS,1,10
MC0000000306,621.97,2,OTHERS,2,10
MC0000000315,293.82,1,OTHERS,1,10
MC0000000319,2327.43,1,OTHERS,1,10
24001936,2403.73,3,OTHERS,1,10
MC0000000343,3968.13,1,CT,2,10
24001124,3296.57,1,CT,2,10
60079105,4120.68,1,CT,1,10
8001406,4158.85,1,CT,2,10
20001306,8165.07,1,CT,2,10
6000114,6295.47,1,CT,2,10
60081038,3472.08,1,CT,1,10
60081958,522.72,1,OTHERS,1,10
MA003074,511.31,1,OTHERS,1,10
MC0000000365,1030.18,1,OTHERS,1,10
MC0000000369,7554.59,1,CT,1,10
60078232,358.67,1,OTHERS,1,11
MC0000000396,293.82,1,OTHERS,1,11
60077273,2403.73,1,OTHERS,1,11
MC0000000412,396.84,1,OTHERS,1,11
MC0000000421,293.82,1,OTHERS,1,11
60062750,4387.79,1,CT,3,11
60073128,7173.06,1,CT,2,11
60082027,2403.73,1,OTHERS,1,11
99000004,68067.33,1,PLATINUM,1,11
MC0000000461,4464.09,1,CT,2,11
MC0000000477,488.40,1,OTHERS,1,11
23000103,621.93,1,OTHERS,1,11
60064281,293.82,1,OTHERS,1,11
MC0000000532,293.82,1,OTHERS,1,11
40000256,1984.06,1,OTHERS,1,11
MC0000000547,1106.48,1,OTHERS,1,11
20002141,3510.21,1,CT,1,11
MC0000000574,1106.48,3,OTHERS,1,11
MC0000000577,2403.73,1,OTHERS,1,11
38000041,7249.36,1,CT,2,11
MC0000000597,457.88,1,OTHERS,1,11
MC0000000602,2060.36,1,OTHERS,1,11
MC0000000603,8775.54,1,CT,2,11
MC0000000637,1068.35,1,OTHERS,1,11
MC0000000643,3433.91,1,CT,2,11
MC0000000654,4120.68,1,CT,1,11
60063589,17566.34,1,SILVER,4,11
39000072,4502.22,1,CT,1,11
60075010,293.82,1,OTHERS,1,11
20001306,12056.77,1,SILVER,1,11
MC0000000740,4845.63,1,CT,1,11
MC0000000745,2785.31,1,OTHERS,1,11
MC0000000751,2899.73,1,OTHERS,1,11
12001422,293.82,1,OTHERS,1,11
MC0000000771,3891.79,1,CT,2,11
MC0000000782,3052.37,2,CT,2,11
MC0000000820,5761.34,1,CT,2,11
MC0000000839,2228.26,1,OTHERS,2,11
MC0000000843,293.82,1,OTHERS,1,11
MC0000000850,3067.68,1,CT,2,11
MC0000000851,2899.73,1,OTHERS,1,11
MC0000000858,16406.39,1,SILVER,1,11
20000850,282.37,1,OTHERS,1,11
60065597,3891.79,1,CT,2,11
60085095,3907.05,1,CT,2,11
60083454,5456.10,2,CT,2,11
4002116,625.78,1,OTHERS,2,11
MC0000000945,1106.48,1,OTHERS,1,11
MC0000000950,2556.37,1,OTHERS,1,11
MC0000000969,2174.83,1,OTHERS,1,11
60073303,3014.20,1,CT,1,11
MC0000001022,2060.36,1,OTHERS,1,11
MC0000001035,1144.65,1,OTHERS,1,11
27001425,2060.36,1,OTHERS,1,11
MC0000001079,9004.44,1,CT,1,11
60088498,488.40,1,OTHERS,1,11
MC0000001147,3739.19,2,CT,2,11
MC0000001150,1602.49,1,OTHERS,1,11
MC0000001157,293.82,1,OTHERS,1,11
MC0000001159,2899.73,1,OTHERS,1,11
MC0000001165,5608.74,1,CT,2,12
13000017,1144.65,1,OTHERS,1,12
60063975,1945.89,1,OTHERS,1,12
MC0000001176,9920.15,1,CT,1,12
MC0000001188,25487.13,1,GOLD,1,12
22000398,2327.43,1,OTHERS,1,12
5002520,4349.62,1,CT,1,12
60062780,2403.73,1,OTHERS,1,12
MC0000000127,1831.42,1,OTHERS,1,12
MC0000001244,576.15,1,OTHERS,1,12
60073476,3018.09,3,CT,3,12
8001361,6867.82,1,CT,1,12
MC0000001261,2518.20,1,OTHERS,1,12
60064055,93058.42,1,PLATINUM,2,12
60067418,11293.70,1,SILVER,1,12
MC0000001137,4387.75,1,CT,1,12
MC0000001337,293.82,1,OTHERS,1,12
MC0000001345,2327.43,1,OTHERS,1,12
MC0000001364,2899.73,1,OTHERS,1,12
60084730,343.41,1,OTHERS,1,12
MC0000001364,2403.73,1,OTHERS,1,12
MC0000001370,3891.74,1,CT,1,12
MC0000001388,1220.95,1,OTHERS,1,12
MC0000001390,5303.46,1,CT,1,12
MC0000001400,3014.20,1,CT,1,12
60090971,312.89,1,OTHERS,1,12
MC0000001403,953.88,3,OTHERS,1,12
13000850,328.15,1,OTHERS,1,12
5001228,1259.12,1,OTHERS,1,12
MC0000001433,576.15,1,OTHERS,1,12
MC0000001436,293.82,1,OTHERS,1,12
MC0000001441,1335.42,1,OTHERS,1,12
MC0000001443,2556.37,3,OTHERS,1,12
MC0000001445,2403.73,1,OTHERS,1,12
MC0000001450,328.15,1,OTHERS,1,12
MC0000001455,2327.43,1,OTHERS,1,12
60091157,2403.73,1,OTHERS,1,12
60091158,557.09,1,OTHERS,1,12
7002811,2327.43,1,OTHERS,1,12
MC0000001486,1106.48,1,OTHERS,1,12
MC0000001501,2556.37,1,OTHERS,1,12
MC0000001522,293.82,1,OTHERS,1,12
MC0000001536,885.23,1,OTHERS,2,12
MC0000001558,759.31,1,OTHERS,1,12
23000715,173220.65,1,PLATINUM,1,12
MC0000001568,1106.48,1,OTHERS,1,12
MC0000001591,293.82,1,OTHERS,1,12
